Year,CountyName,Population,Municipal,Manufacturing,Mining,Power,Irrigation,LiveStock,Muni_GW,Muni_SW,Muni_RU,MFG_Gw,MFG_SW,MFG_RU,Mining_GW,Mining_SW,Mining_RU,Power_GW,Power_SW,Power_RU,Irrig_GW,Irrig_SW,Irrig_RU,Livestock_GW,Livestock_SW,Livestock_RU,textbox46,textbox11,textbox13,Manufacturing1,textbox17,textbox19,textbox20,textbox21,textbox23,textbox25,Textbox44,textbox27,textbox29,Textbox49,textbox31,textbox33,Textbox52,textbox35,textbox37,Textbox55,textbox39,textbox41,Textbox58,textbox43,textbox45,Textbox61
2015,CHEROKEE,"52,316","8,084",60,92,290,498,"1,759","7,138",937,9,35,25,0,61,26,5,119,171,0,314,184,0,264,"1,495",0,2015,"27,469,114","4,277,409","1,019,173","180,632","533,378","6,206,293","316,642","1,446,371","2,715,577","115,461","171,564","825,880","21,729","118,041","20,403","42,188","50,377","420,063","62,938","5,014,383","1,141,173","50,737","155,762","160,880",0
2015,CHILDRESS,"6,937","1,580",0,0,0,"11,541",223,19,"1,561",0,0,0,0,0,0,0,0,0,0,"11,541",0,0,201,22,0,2015,"27,469,114","4,277,409","1,019,173","180,632","533,378","6,206,293","316,642","1,446,371","2,715,577","115,461","171,564","825,880","21,729","118,041","20,403","42,188","50,377","420,063","62,938","5,014,383","1,141,173","50,737","155,762","160,880",0
2015,CLAY,"10,643","1,015",0,15,0,"1,178","1,489",364,651,0,0,0,0,3,11,1,0,0,0,"1,178",0,0,224,"1,265",0,2015,"27,469,114","4,277,409","1,019,173","180,632","533,378","6,206,293","316,642","1,446,371","2,715,577","115,461","171,564","825,880","21,729","118,041","20,403","42,188","50,377","420,063","62,938","5,014,383","1,141,173","50,737","155,762","160,880",0
2015,COCHRAN,"3,053",478,0,19,0,"74,529",407,478,0,0,0,0,0,13,0,6,0,0,0,"74,529",0,0,366,41,0,2015,"27,469,114","4,277,409","1,019,173","180,632","533,378","6,206,293","316,642","1,446,371","2,715,577","115,461","171,564","825,880","21,729","118,041","20,403","42,188","50,377","420,063","62,938","5,014,383","1,141,173","50,737","155,762","160,880",0
2015,COKE,"3,202",315,0,1,0,429,218,81,234,0,0,0,0,0,1,0,0,0,0,429,0,0,170,48,0,2015,"27,469,114","4,277,409","1,019,173","180,632","533,378","6,206,293","316,642","1,446,371","2,715,577","115,461","171,564","825,880","21,729","118,041","20,403","42,188","50,377","420,063","62,938","5,014,383","1,141,173","50,737","155,762","160,880",0
2015,COLEMAN,"8,572","1,388",1,0,0,304,637,8,"1,380",0,0,1,0,0,0,0,0,0,0,44,260,0,19,618,0,2015,"27,469,114","4,277,409","1,019,173","180,632","533,378","6,206,293","316,642","1,446,371","2,715,577","115,461","171,564","825,880","21,729","118,041","20,403","42,188","50,377","420,063","62,938","5,014,383","1,141,173","50,737","155,762","160,880",0
2015,COLLIN,"923,201","188,995","2,209",0,19,"3,369",779,"6,382","182,412",201,100,"2,109",0,0,0,0,0,19,0,680,"2,689",0,39,740,0,2015,"27,469,114","4,277,409","1,019,173","180,632","533,378","6,206,293","316,642","1,446,371","2,715,577","115,461","171,564","825,880","21,729","118,041","20,403","42,188","50,377","420,063","62,938","5,014,383","1,141,173","50,737","155,762","160,880",0
2015,COLLINGSWORTH,"2,981",586,0,0,0,"37,685",381,581,5,0,0,0,0,0,0,0,0,0,0,"37,635",50,0,370,11,0,2015,"27,469,114","4,277,409","1,019,173","180,632","533,378","6,206,293","316,642","1,446,371","2,715,577","115,461","171,564","825,880","21,729","118,041","20,403","42,188","50,377","420,063","62,938","5,014,383","1,141,173","50,737","155,762","160,880",0
2015,COLORADO,"21,848","4,040",532,"4,009",0,"68,956","1,113","4,040",0,0,532,0,0,"2,201","1,808",0,0,0,0,"21,687","47,269",0,445,668,0,2015,"27,469,114","4,277,409","1,019,173","180,632","533,378","6,206,293","316,642","1,446,371","2,715,577","115,461","171,564","825,880","21,729","118,041","20,403","42,188","50,377","420,063","62,938","5,014,383","1,141,173","50,737","155,762","160,880",0
2015,COMAL,"130,021","21,758","2,918","3,282",0,528,246,"12,214","9,132",412,"2,612",29,277,"3,282",0,0,0,0,0,232,296,0,74,172,0,2015,"27,469,114","4,277,409","1,019,173","180,632","533,378","6,206,293","316,642","1,446,371","2,715,577","115,461","171,564","825,880","21,729","118,041","20,403","42,188","50,377","420,063","62,938","5,014,383","1,141,173","50,737","155,762","160,880",0
